,city,latitude,temperature_farenheit,humidity_percent,cloudiness_percent,windspeed_mph
0,woodstock,43.13,68.76,77,90,4.7
1,faanui,-16.48,78.1,83,64,12.86
2,vaini,-21.2,73.4,88,40,5.82
3,puerto ayora,-0.74,66.99,90,7,1.99
4,tuatapere,-46.13,39.0,83,45,3.0
5,hithadhoo,-0.6,83.84,70,84,2.17
6,saskylakh,71.92,65.82,35,100,22.37
7,mataura,-46.19,39.0,83,2,3.0
8,samarai,-10.62,77.5,86,62,16.87
9,rikitea,-23.12,73.47,87,100,3.13
10,la rioja,42.25,68.0,52,0,10.29
11,iqaluit,63.75,45.34,75,20,2.24
12,mayya,61.73,84.2,32,92,4.47
13,punta arenas,-53.15,29.07,92,1,5.82
14,castro,-24.79,43.7,96,22,4.27
15,albany,42.6,70.0,86,95,1.99
16,aklavik,68.22,51.8,87,90,13.87
17,chokurdakh,70.63,38.89,91,100,9.17
18,ushuaia,-54.8,30.2,74,40,4.7
19,georgetown,5.41,84.09,83,20,9.17
20,carnarvon,-24.87,75.2,88,90,10.29
21,acapulco,16.86,78.51,82,43,5.41
22,bredasdorp,-34.53,60.8,55,0,5.82
23,torbay,47.67,48.92,100,90,20.8
24,kaputa,-8.47,72.95,39,0,10.29
25,podporozhye,60.91,56.21,81,100,10.47
26,nelson bay,-32.72,55.96,71,90,12.75
27,karratha,-20.74,74.48,38,0,12.41
28,kloulklubed,7.04,82.4,78,75,9.17
29,dingle,11.0,83.95,81,100,8.59
30,nipawin,53.37,59.0,77,1,12.75
31,port alfred,-33.59,63.55,28,0,2.57
32,volnovakha,47.6,73.0,100,33,10.0
33,estacion coahuila,32.19,87.84,19,1,1.36
34,ribeira grande,38.52,69.8,77,75,2.24
35,tuktoyaktuk,69.45,42.64,88,100,9.17
36,cayenne,4.93,73.4,100,20,6.64
37,walvis bay,-22.96,72.73,11,0,18.34
38,nabire,-3.37,79.38,83,88,1.59
39,rio gallegos,-51.62,26.6,92,40,5.82
40,magangue,9.24,74.8,92,76,1.63
41,jamestown,42.1,69.57,72,1,8.05
42,barinas,8.62,70.68,87,100,2.8
43,bathsheba,13.22,80.6,78,40,14.99
44,sao joao da barra,-21.64,64.42,85,75,8.12
45,kahului,20.89,73.62,61,20,8.05
46,saint-philippe,-21.36,72.57,65,2,13.87
47,armidale,-30.52,41.0,70,84,4.99
48,pevek,69.7,46.09,93,100,2.86
49,butaritari,3.07,83.46,64,75,7.47
50,penzance,50.12,61.45,93,75,11.41
51,taoudenni,22.68,101.23,26,0,10.54
52,kapaa,22.08,76.66,78,75,11.41
53,tongliao,43.61,96.39,28,6,15.3
54,tasiilaq,65.61,44.6,70,20,4.7
55,new norfolk,-42.78,42.01,88,70,0.96
56,yellowknife,62.46,50.76,93,20,4.7
57,margate,51.38,64.33,75,74,8.01
58,hasaki,35.73,69.75,78,75,6.93
59,east london,-33.02,68.0,24,0,3.36
60,dikson,73.51,40.15,94,47,6.04
61,bluff,-46.6,39.0,83,1,3.0
62,pacific grove,36.62,56.73,82,90,5.82
63,cape town,-33.93,60.89,51,0,2.24
64,kruisfontein,-34.0,60.64,30,0,3.62
65,flinders,-34.58,55.74,69,71,5.99
66,busselton,-33.65,56.82,65,100,14.79
67,khatanga,71.97,47.91,93,100,13.33
68,asyut,27.18,96.46,14,0,14.81
69,ugoofaaru,5.67,83.64,77,100,13.51
70,vila velha,-20.33,68.52,82,40,9.17
71,talnakh,69.49,53.6,71,40,17.9
72,pangnirtung,66.15,57.02,38,8,2.06
73,vila do maio,15.13,75.2,83,40,3.36
74,hobart,-42.88,42.84,87,75,3.36
75,vila franca do campo,37.72,66.2,82,75,6.93
76,atuona,-9.8,79.77,77,5,16.6
77,vestmanna,62.16,51.8,100,90,14.99
78,chicama,-7.84,61.63,85,60,4.43
79,ucluelet,48.93,57.0,92,98,11.99
80,victoria,22.29,88.14,68,72,11.01
