,city,latitude,longitude,temperature_farenheit,humidity_percent,cloudiness_percent,windspeed_mph
0,woodstock,43.13,-80.75,65.41,100,75,6.93
1,faanui,-16.48,-151.75,77.59,77,2,8.21
2,vaini,-21.2,-175.2,75.2,88,75,5.82
3,puerto ayora,-0.74,-90.35,66.0,93,46,1.01
4,tuatapere,-46.13,167.68,39.0,83,8,3.0
5,hithadhoo,-0.6,73.08,84.85,71,90,10.33
6,saskylakh,71.92,114.08,51.01,86,100,11.41
7,mataura,-46.19,168.86,39.0,83,75,3.0
8,samarai,-10.62,150.67,75.61,83,97,13.42
9,rikitea,-23.12,-134.97,73.44,78,100,4.23
10,la rioja,42.25,-2.5,68.0,56,20,11.41
11,iqaluit,63.75,-68.51,44.29,93,90,6.93
12,mayya,61.73,130.28,87.8,35,0,4.47
13,punta arenas,-53.15,-70.92,19.2,92,52,3.36
14,castro,-24.79,-50.01,54.23,94,56,2.82
15,albany,42.6,-73.97,61.93,91,87,7.34
16,aklavik,68.22,-135.01,50.0,87,20,6.93
17,chokurdakh,70.63,147.92,53.89,50,75,6.4
18,ushuaia,-54.8,-68.3,26.6,79,0,4.7
19,georgetown,5.41,100.34,86.65,79,20,5.82
20,carnarvon,-24.87,113.63,64.4,63,0,17.22
21,acapulco,16.86,-99.89,79.45,74,89,6.13
22,bredasdorp,-34.53,20.04,68.0,34,0,6.93
23,torbay,47.67,-52.73,49.55,100,90,19.46
24,kaputa,-8.47,29.66,70.81,40,27,9.48
25,podporozhye,60.91,34.17,55.24,86,100,6.15
26,nelson bay,-32.72,152.15,54.39,100,75,9.17
27,karratha,-20.74,116.85,70.83,65,0,8.08
28,kloulklubed,7.04,134.26,82.4,83,75,3.36
29,dingle,11.0,122.67,82.72,78,43,4.45
30,nipawin,53.37,-104.0,55.4,93,90,2.24
31,port alfred,-33.59,26.89,71.76,23,0,7.74
32,volnovakha,47.6,37.5,73.99,100,100,21.99
33,estacion coahuila,32.19,-115.0,85.87,54,1,17.22
34,ribeira grande,38.52,-28.7,69.8,73,75,4.7
35,tuktoyaktuk,69.45,-133.04,39.97,79,0,11.77
36,cayenne,4.93,-52.33,73.4,100,96,7.56
37,walvis bay,-22.96,14.51,77.4,17,5,8.05
38,nabire,-3.37,135.48,79.48,79,99,1.07
39,rio gallegos,-51.62,-69.22,14.0,100,90,2.24
40,magangue,9.24,-74.75,74.66,94,100,1.61
41,jamestown,42.1,-79.24,68.0,94,75,10.29
42,barinas,8.62,-70.21,70.16,89,21,1.74
43,bathsheba,13.22,-59.52,80.6,83,40,12.75
44,sao joao da barra,-21.64,-41.05,66.2,88,75,6.64
45,kahului,20.89,-156.47,74.68,69,1,6.93
46,saint-philippe,-21.36,55.77,65.21,73,98,19.46
47,armidale,-30.52,151.65,39.0,75,39,2.68
48,pevek,69.7,170.31,42.44,94,88,5.53
49,butaritari,3.07,172.79,83.32,77,26,14.16
50,penzance,50.12,-5.54,62.92,87,75,8.05
51,taoudenni,22.68,-3.98,106.11,16,11,4.14
52,kapaa,22.08,-159.32,74.84,83,75,5.82
53,tongliao,43.61,122.27,90.14,41,100,21.0
54,tasiilaq,65.61,-37.64,44.6,75,20,8.05
55,new norfolk,-42.78,147.06,38.71,84,8,2.33
56,yellowknife,62.46,-114.35,55.15,71,75,6.93
57,margate,51.38,1.39,72.01,66,61,1.99
58,hasaki,35.73,140.83,66.52,100,75,9.17
59,east london,-33.02,27.91,71.6,19,0,2.24
60,dikson,73.51,80.55,41.63,93,93,9.64
61,bluff,-46.6,168.33,39.0,83,23,3.0
62,pacific grove,36.62,-121.92,57.11,87,90,4.7
63,cape town,-33.93,18.42,68.0,28,0,10.29
64,kruisfontein,-34.0,24.73,69.06,24,0,9.82
65,flinders,-34.58,150.86,56.34,74,72,4.0
66,busselton,-33.65,115.33,49.14,52,4,10.4
67,khatanga,71.97,102.5,47.84,79,100,17.63
68,asyut,27.18,31.18,95.63,18,0,16.44
69,ugoofaaru,5.67,73.0,84.27,73,81,8.48
70,vila velha,-20.33,-40.29,66.09,93,75,1.12
71,talnakh,69.49,88.4,55.4,62,75,20.13
72,pangnirtung,66.15,-65.71,59.05,37,68,3.76
73,vila do maio,15.13,-23.22,77.0,69,75,11.41
74,hobart,-42.88,147.33,38.46,93,20,1.12
